title,median_salary,posting_count
(Us) Software Implementation Consultant - 12 Month Contract - Acute & Payer,76960.0,3
(Us) Software Implementation Consultant - Level 2 - Financial,89000.0,3
(Us) Solutions Analyst - Clinical - 1 Year Contract,58240.0,4
"(Us) Sr. Customer Success Manager, Practice Groups - Value Based Care",124500.0,3
.Net Developer,115000.0,5
03225 Inside Sales,29390.4,4
"Abercrombie & Fitch - Assistant Manager, Somerset North",39520.0,3
Account Coordinator,45760.0,5
Account Director I - Enterprise,98495.0,3
Account Executive,71500.0,73
"Account Executive, Strategic Retail",365750.0,4
Account Manager,81250.0,62
Account Specialist,55000.0,3
Account Specialist I,70000.0,3
Accountant,66750.0,70
Accounting Analyst,68750.0,4
Accounting Assistant,50960.0,9
Accounting Associate,67500.0,5
Accounting Clerk,46630.0,18
Accounting Coordinator,54080.0,5
Accounting Manager,102500.0,67
Accounting Specialist,48880.0,11
Accounting Supervisor,82500.0,9
Accounting Technician,45760.0,3
Accounts Payable Accountant,62500.0,3
Accounts Payable Analyst,61500.0,3
Accounts Payable Clerk,47840.0,5
Accounts Payable Manager,97550.0,8
Accounts Payable Specialist,54080.0,43
Accounts Payable Supervisor,66350.0,4
Accounts Receivable Analyst,60680.0,6
Accounts Receivable Clerk,41600.0,3
Accounts Receivable Manager,79250.0,5
Accounts Receivable Specialist,50480.0,24
Acute Care Rn,128710.40000000001,6
Administrative Assistant,46800.0,127
Administrative Assistant Ii,52143.0,4
Administrative Associate,60000.0,3
Administrative Coordinator,53750.0,18
Administrative Specialist,41760.0,10
Admissions Representative,44720.0,3
Aftermarket Technical Sales Manager,97000.0,4
Air Export Agent,53040.0,3
Analyst,100000.0,7
"Analyst, Vas North America Sales And Commercial Operations",107525.0,4
Analytical Development Scientist,72800.0,3
Android Developer,135200.0,3
Ap Specialist,53040.0,3
App Nurse Anesthetist/Ukhc,156062.4,3
Application Architect,148000.0,3
Application Developer,110427.2,8
Application Engineer,92500.0,11
Application Support Engineer,127500.0,4
Apprentice Technician,96000.0,3
Architect,120200.0,4
Area Coach/Hair Stylist Educator,65000.0,3
Area Leader Trainee,85000.0,5
Area Sales Manager,65000.0,7
Armed Security Officer,37710.4,3
Art Director,120000.0,3
Artificial Intelligence Engineer,176800.0,3
Assembler,37440.0,11
Assembler - 1St Shift,47840.0,4
Assembly Maintenance Technician - 1562244,64428.0,3
Asset Management Analyst,80000.0,3
Assistant Buyer,62400.0,3
Assistant Controller,122500.0,23
Assistant Director,48000.0,4
Assistant Facility Manager,55120.0,3
Assistant General Manager,74500.0,10
Assistant Manager,37440.0,63
Assistant Manager (Full Time),36088.0,11
Assistant Manager Part Time,31200.0,7
Assistant Manager Student Services,83000.0,4
Assistant Project Manager,86250.0,22
Assistant Property Manager,60750.0,8
Assistant Site Manager,39000.0,8
Assistant Store Leader,67500.0,6
Assistant Store Manager,44064.8,43
Assistant Store Manager - Spirit,38521.6,5
Assistant Superintendent,80000.0,5
Assistant Teacher,37960.0,4
Associate,147680.0,5
Associate Attorney,122500.0,33
Associate Banker,45607.5,4
Associate Branch Manager Forward Hire Modesto District,71104.8,3
Associate Branch Manager Forward Hire North Coast District,66809.59999999999,3
Associate Client Success Manager,70000.0,3
Associate Financial Advisor,58233.0,5
Associate Gallery Leader,116500.0,4
"Associate General Counsel, Product (Youth)",265000.0,4
Associate Governmental Program Analyst,76788.0,6
Associate Product Manager,95000.0,3
Associate Project Manager,61000.0,6
Associate Systems Engineer,75920.0,3
Associate Veterinarian,140000.0,19
"Associate, Global Transaction Tax - Multiple Locations Summer 2024",117500.0,4
"Associate, Part Time Sales",31200.0,3
Attendant,33800.0,4
Attorney,112500.0,25
Attorney/Lawyer,130000.0,3
Audio Visual Technician,73500.0,3
Audit Manager,130000.0,10
Audit Manager - 1569589,97500.0,3
Audit Senior,92500.0,4
Auditor,49337.6,7
"Auditor / Lead Auditor – Iso 13485, Mdsap, Mdr 2017/745",130000.0,3
Auto Damage Adjuster,70000.0,4
Auto Detailer,37440.0,13
Auto Glass Installation Technician Trainee,55140.8,32
Auto Physical Damage Desk Appraiser,72500.0,3
Automation Engineer,117700.0,9
Automation Technician,65520.0,3
Automotive Technician,49140.0,16
Avionics Technician,62500.0,3
Azure Data Architect,195000.0,3
B2C-Weekend Shift,34320.0,4
Ba Microsoft D365 Power Factory Solution Architect,126350.0,3
Back End Developer,121929.59999999999,11
Bakery Clerk Part Time,31720.0,6
Bank Business Process Consultant Senior,132060.0,4
Banking Product Support - Deposit Origination Analyst,99405.0,3
Banquet Manager,77000.0,5
Barista,35880.0,4
Bartender,33280.0,3
Beauty Advisor,38480.0,3
Behavior Interventionist,48880.0,4
Behavior Technician,43680.0,23
Behavior Technician (Bt) / Registered Behavior Technician (Rbt),32240.0,3
Behavior Technician - St,43680.0,5
"Behavioral Health Benefits Specialist (Osawatomie,, Ks)",39520.0,3
Behavioral Therapist,58300.0,4
Bench Scientist,76216.4,4
Benefits Coordinator,61200.0,6
Benefits Manager,90130.0,4
Benefits Specialist,70636.8,4
Bereavement Counselor / Social Worker,53684.8,3
Big Data Architect – Fx Trading,161200.0,3
Bilingual Customer Service Representative,39520.0,3
Bilingual Customer Service Specialist (Spanish),35360.0,3
Bilingual Direct Sales Associate,87500.0,3
Bilingual Portuguese Customer Service - At Home,42432.0,4
Bilingual Spanish Medical Assistant San Marcos - #3966,47840.0,3
Bilingual Technical Support Specialist,37440.0,3
Billing Analyst,60160.0,10
Billing Coordinator,82500.0,4
Billing Specialist,49400.0,14
"Bioanalysis Raii/Sra, Dmpk",93600.0,3
Biologist,74880.0,4
